+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|               clk_fpga_0 |               clk_fpga_2 |                                                 system_i/axi_i2s_adi_0/U0/ctrl/tx_sync/out_data_reg[2]/CE|
|               clk_fpga_0 |               clk_fpga_2 |                                                 system_i/axi_i2s_adi_0/U0/ctrl/tx_sync/out_data_reg[3]/CE|
|               clk_fpga_0 |               clk_fpga_2 |                                                 system_i/axi_i2s_adi_0/U0/ctrl/tx_sync/out_data_reg[4]/CE|
|               clk_fpga_0 |               clk_fpga_2 |                                                 system_i/axi_i2s_adi_0/U0/ctrl/tx_sync/out_data_reg[0]/CE|
|               clk_fpga_0 |               clk_fpga_2 |                                                 system_i/axi_i2s_adi_0/U0/ctrl/tx_sync/out_data_reg[1]/CE|
|               clk_fpga_2 |               clk_fpga_0 |                                           system_i/axi_i2s_adi_0/U0/ctrl/rx_gen.rx_sync/out_data_reg[1]/D|
|               clk_fpga_0 |               clk_fpga_2 |                                                  system_i/axi_i2s_adi_0/U0/ctrl/rx_sync_fifo_in_reg[1]/CE|
|               clk_fpga_0 |               clk_fpga_2 |                                                  system_i/axi_i2s_adi_0/U0/ctrl/rx_sync_fifo_in_reg[2]/CE|
|               clk_fpga_0 |               clk_fpga_2 |                                                  system_i/axi_i2s_adi_0/U0/ctrl/rx_sync_fifo_in_reg[3]/CE|
|               clk_fpga_0 |               clk_fpga_2 |                                                  system_i/axi_i2s_adi_0/U0/ctrl/rx_sync_fifo_in_reg[4]/CE|
|               clk_fpga_0 |               clk_fpga_2 |                                                  system_i/axi_i2s_adi_0/U0/ctrl/rx_sync_fifo_in_reg[0]/CE|
|               clk_fpga_0 |               clk_fpga_2 |                                                  system_i/axi_i2s_adi_0/U0/ctrl/tx_sync/out_data_reg[1]/D|
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
